node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303620	9519	4957391	20225	0	0	0	0	2260980	8052	0	0	0	0	200	200	2	0.0105	0.395	1.1404999999999998
100	306169	14881	15645918	38741	0	0	0	0	7489082	15944	0	0	0	0	200	200	2	0.006500000000000001	0.042500000000000024	0.5495
150	308756	20312	33110357	62182	0	0	0	0	16100359	26170	0	0	0	0	200	200	4	0.0015	0.0095	0.255
200	311388	25729	57195498	84071	0	0	0	0	28111992	37015	0	0	0	0	200	200	2	0.009999999999999998	0.0175	0.12400000000000004
250	314067	31065	88046961	112191	0	0	0	0	43524636	50812	0	0	0	0	200	200	3	0.0125	0.015000000000000003	0.06100000000000002
300	316771	36465	126427332	148599	0	0	0	0	62709548	67655	0	0	0	0	200	200	3	0.019499999999999997	0.023500000000000004	0.0385
350	319598	42905	171846253	195624	0	0	0	0	85328560	91396	0	0	0	0	200	200	3	0.010500000000000002	0.028000000000000004	0.05
400	322460	47830	225351378	238684	0	0	0	0	111976634	112280	0	0	0	0	200	200	3	0.0085	0.029500000000000005	0.05450000000000001
450	325296	53253	287221177	290554	0	0	0	0	142864183	136587	0	0	0	0	200	200	3	0.016	0.027500000000000007	0.05650000000000001
500	328279	58258	354449141	340338	0	0	0	0	176795839	162099	0	0	0	0	200	200	3	0.03200000000000001	0.042000000000000016	0.06250000000000001
550	331323	64783	430821652	397574	0	0	0	0	214722565	190242	0	0	0	0	200	200	3	0.035500000000000004	0.03550000000000001	0.06350000000000001
600	334439	70975	517768434	465283	0	0	0	0	258005070	222303	0	0	0	0	200	200	3	0.043500000000000004	0.05400000000000001	0.08000000000000002
650	337711	75083	613737196	557188	0	0	0	0	306197259	270108	0	0	0	0	200	200	3	0.055500000000000015	0.06300000000000003	0.09500000000000001
700	340825	82355	718000696	633453	0	0	0	0	357830432	307510	0	0	0	0	200	200	3	0.03849999999999999	0.051000000000000004	0.09050000000000002
750	344013	86774	828148038	715991	0	0	0	0	413682780	348735	0	0	0	0	200	200	3	0.07350000000000001	0.08100000000000003	0.10700000000000001
800	347321	92195	950329854	801743	0	0	0	0	475376599	392134	0	0	0	0	200	200	3	0.0875	0.07400000000000004	0.10700000000000001
850	350829	100150	1081035202	896652	0	0	0	0	539171766	437537	0	0	0	0	200	200	3	0.04000000000000001	0.07400000000000002	0.12
900	354237	101691	1222796221	998816	0	0	0	0	610698547	488491	0	0	0	0	200	200	4	0.0855	0.08550000000000002	0.12399999999999997
950	357783	108461	1380782963	1148441	0	0	0	0	688883800	562846	0	0	0	0	200	200	3	0.1005	0.09800000000000005	0.1435
1000	361455	113131	1541490642	1264752	0	0	0	0	770827390	621749	0	0	0	0	200	200	3	0.07200000000000002	0.08600000000000003	0.15249999999999997
1050	365352	118090	1713326649	1384589	0	0	0	0	856712981	681416	0	0	0	0	200	200	3	0.08300000000000002	0.09450000000000004	0.15699999999999997
1100	369151	123435	1896180617	1513293	0	0	0	0	948929378	746751	0	0	0	0	200	200	4	0.09650000000000002	0.10800000000000003	0.177
1150	372986	130661	2092313019	1650037	0	0	0	0	1048006163	815353	0	0	0	0	200	200	4	0.144	0.133	0.1835
1200	377942	137585	2299351248	1795774	0	0	0	0	1155066943	890256	0	0	0	0	200	200	4	0.13649999999999998	0.139	0.195
1250	382028	142255	2523049408	2009809	0	0	0	0	1268108395	996576	0	0	0	0	200	200	4	0.11699999999999999	0.13049999999999998	0.19849999999999995
1300	385664	147129	2745481448	2163512	0	0	0	0	1384541193	1077955	0	0	0	0	200	200	4	0.15800000000000003	0.13300000000000006	0.2
1350	389543	174366	2979018195	2322523	0	0	0	0	1506771516	1162123	0	0	0	0	200	200	4	0.1325	0.145	0.20949999999999996
1400	392933	160883	3227555901	2495128	0	0	0	0	1633785584	1249777	0	0	0	0	200	200	4	0.128	0.154	0.23199999999999998
1450	398505	183580	3500596638	2685753	0	0	0	0	1775928922	1348512	0	0	0	0	200	200	4	0.13299999999999998	0.15000000000000005	0.20799999999999996
1500	402706	174185	3784546963	2880023	0	0	0	0	1921524231	1447758	0	0	0	0	200	200	4	0.14599999999999996	0.14700000000000002	0.2165
1550	406035	188700	4059980890	3155120	0	0	0	0	2070493338	1592979	0	0	0	0	200	200	4	0.1385	0.14900000000000002	0.223
1600	411720	191616	4381114873	3364208	0	0	0	0	2236123368	1701282	0	0	0	0	200	200	3	0.129	0.1365	0.22900000000000004
1650	417120	190910	4668864742	3564881	0	0	0	0	2407484229	1819977	0	0	0	0	200	200	3	0.15250000000000002	0.16949999999999998	0.2425
1700	421278	213188	5025631525	3818141	0	0	0	0	2579695266	1945026	0	0	0	0	200	200	4	0.183	0.1695	0.2395
1750	425503	221135	5373521166	4057010	0	0	0	0	2758510881	2062236	0	0	0	0	200	200	3	0.1605	0.3364999999999999	0.5465000000000001
1800	431637	208561	5754913812	4330427	0	0	0	0	2959496716	2208085	0	0	0	0	200	200	4	0.252	0.21550000000000002	0.32500000000000007
1850	436764	217790	6108686145	4778529	0	0	0	0	3174107178	2451779	0	0	0	0	200	200	4	0.186	0.21250000000000005	0.3035
1900	441621	221397	6542152564	4972991	0	0	0	0	3380118133	2545258	0	0	0	0	200	200	3	0.16449999999999998	0.1865	0.27349999999999997
1950	448914	292775	7005372079	5320969	0	0	0	0	3616659171	2726827	0	0	0	0	200	200	3	0.20000000000000004	0.22149999999999997	0.2815
2000	452379	231938	7447555203	5625749	0	0	0	0	3843927221	2880865	0	0	0	0	200	200	4	0.4779999999999999	0.3105	0.3444999999999999
