node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303688	24378	137917622	755181	0	0	0	0	40138126	218771	0	0	0	0	200	200	0	0.08	0.62	1.60
64	304453	32030	234238172	1075946	0	0	0	0	66789156	305736	0	0	0	0	200	200	1	0.22	0.25	0.82
81	306277	40402	378016720	1488552	0	0	0	0	106121454	416997	0	0	0	0	200	200	2	0.13	0.15	0.48
100	307838	51042	577885114	2018719	0	0	0	0	160266410	558931	0	0	0	0	200	200	3	0.35	0.37	0.49
121	308068	56090	845474582	2675045	0	0	0	0	232167640	733590	0	0	0	0	200	200	3	0.65	0.60	0.62
144	310327	74102	1201796578	3508483	0	0	0	0	327321280	954462	0	0	0	0	200	200	5	1.73	1.59	1.21
169	311011	85338	1637053126	4495157	0	0	0	0	442669252	1214224	0	0	0	0	200	200	6	3.73	3.16	2.25
196	312848	99370	2084339682	5535887	0	0	0	0	559799902	1485845	0	0	0	0	200	200	8	6.46	5.56	3.85
225	314325	109642	2499948608	6546566	0	0	0	0	667988972	1748406	0	0	0	0	200	200	10	10.41	9.22	6.34
256	366386	124923	3164095178	8355925	0	0	0	0	841346684	2221600	0	0	0	0	200	200	18	18.09	16.33	11.17
289	756254	245732	7088543874	20536915	0	470966	0	0	1933452808	5611472	0	70420	0	0	200	11	52	32.06	31.91	27.54
324	1005066	545334	7976793716	24910916	0	1012426	0	0	2211516584	6936884	0	136527	0	0	200	4	17	32.44	32.39	30.64
