node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303609	10344	74170576	395606	0	0	0	0	37621704	200918	0	0	0	0	200	173	9	0.018	0.034	0.07700000000000003
100	306163	18557	177180844	823966	0	0	0	0	89130758	415155	0	0	0	0	200	103	7	0.013500000000000002	0.016	0.04150000000000001
150	308750	26945	282771684	1265618	0	0	0	0	141929688	635968	0	0	0	0	200	71	5	0.0055000000000000005	0.015500000000000003	0.0335
200	311379	35291	389102280	1708086	0	0	0	0	195097110	857263	0	0	0	0	200	62	4	0.0075000000000000015	0.016000000000000004	0.032
250	314039	43306	498778302	2166191	0	0	0	0	249944344	1086306	0	0	0	0	200	37	4	0.0	0.015	0.0355
300	316802	51557	609726990	2637523	0	0	0	0	305416588	1321944	0	0	0	0	200	38	3	0.011000000000000001	0.022500000000000003	0.041
350	319534	60500	722798640	3109496	0	0	0	0	361957342	1557969	0	0	0	0	200	33	3	0.023	0.029000000000000005	0.051000000000000004
400	322382	68511	838103772	3598662	0	0	0	0	419619304	1802662	0	0	0	0	200	26	3	0.0215	0.0335	0.061
450	325263	76882	955986988	4096696	0	0	0	0	478563700	2051702	0	0	0	0	200	31	2	0.006500000000000001	0.026500000000000003	0.061
500	328245	85285	1075144690	4596759	0	0	0	0	538153234	2301815	0	0	0	0	200	23	2	0.007000000000000001	0.026000000000000002	0.0665
550	331301	93302	1197397440	5107344	0	0	0	0	599276492	2557078	0	0	0	0	200	24	3	0.015	0.029500000000000005	0.071
600	334451	103557	1321678278	5632853	0	0	0	0	661439414	2819865	0	0	0	0	200	18	2	0.016	0.030500000000000006	0.0745
650	337595	110455	1448377190	6164695	0	0	0	0	724788984	3085874	0	0	0	0	200	22	2	0.016999999999999998	0.03550000000000001	0.08
700	340683	118261	1576594458	6707843	0	0	0	0	788904378	3357435	0	0	0	0	200	15	2	0.014499999999999999	0.034	0.08349999999999999
750	343841	126559	1707129368	7260036	0	0	0	0	854168608	3633550	0	0	0	0	200	23	3	0.012	0.030500000000000006	0.0835
800	347314	134892	1841061868	7824538	0	0	0	0	921140922	3915911	0	0	0	0	200	12	3	0.0215	0.0345	0.088
850	350557	147269	1977290980	8393276	0	0	0	0	989263508	4200250	0	0	0	0	200	14	2	0.014000000000000002	0.0345	0.0985
900	353974	151936	2116867332	8982310	0	0	0	0	1059063434	4494817	0	0	0	0	200	19	2	0.013000000000000001	0.031000000000000007	0.0955
950	357786	161303	2259779514	9576693	0	0	0	0	1130524980	4792036	0	0	0	0	200	17	3	0.0235	0.03300000000000001	0.094
1000	361134	168862	2402882128	10185536	0	0	0	0	1202081154	5096443	0	0	0	0	200	9	1	0.03300000000000001	0.038500000000000006	0.10199999999999998
