node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303412	26246	84699872	447350	0	0	0	0	42449466	213899	0	0	0	0	200	200	0	0.00	0.55	1.28
100	308299	51394	331487656	1169266	0	0	0	0	166212338	563497	0	0	0	0	200	200	2	0.31	0.30	0.71
150	311753	80842	746392430	2176173	0	0	0	0	374141662	1055651	0	0	0	0	200	200	4	1.10	0.91	0.84
200	313350	107505	1322473666	3454705	0	0	0	0	662590696	1681910	0	0	0	0	200	200	5	2.62	2.33	1.74
250	317221	133030	2015674828	4996362	0	710	0	0	1009367614	2448011	0	72	0	0	200	200	7	6.29	5.23	3.54
300	322003	162317	2641220178	6396907	0	2354	0	0	1323263866	3143987	0	294	0	0	200	200	11	10.97	9.97	6.62
350	425147	189789	3475867936	8552854	0	65662	0	0	1747933416	4220466	0	7727	0	0	200	200	15	16.98	15.57	11.10
400	567745	221606	4323221918	11024319	0	482918	0	0	2212477464	5541300	0	55034	0	0	200	177	26	24.51	25.19	19.27
450	1263452	253239	9619132786	25761311	0	2122004	0	0	4972254838	13089573	0	241806	0	0	200	39	23	30.44	30.77	29.21
500	1501026	281896	11501025858	32167817	0	3508330	0	0	5907292862	16305457	0	382287	0	0	200	27	39	30.60	30.82	30.47
