node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
4	300296	812	445426	4884	0	0	0	0	222714	2442	0	0	0	0	4	4	0	0.00	2.76	13.90
9	300672	2032	1442875	14919	0	0	0	0	537663	5576	0	0	0	0	9	9	0	0.00	0.37	7.10
16	301003	3936	3097213	29895	0	0	0	0	1026113	9943	0	0	0	0	16	16	0	0.03	0.08	3.56
25	301629	6180	5576393	50349	0	0	0	0	1728456	15663	0	0	0	0	25	25	0	0.10	0.08	1.77
36	302466	8708	8825600	75725	0	0	0	0	2633686	22674	0	0	0	0	36	36	0	0.14	0.13	0.92
49	303595	12748	13123523	107400	0	0	0	0	3807064	31238	0	0	0	0	49	49	0	0.30	0.17	0.53
64	304472	15916	18493245	144311	0	0	0	0	5257285	41111	0	0	0	0	64	64	0	0.23	0.16	0.34
81	306358	21036	25442515	188076	0	0	0	0	7119870	52711	0	0	0	0	81	81	0	0.24	0.21	0.31
100	308689	26264	33840504	236312	0	0	0	0	9360645	65445	0	0	0	0	100	100	0	0.09	0.19	0.33
121	310262	29860	44204881	292256	0	0	0	0	12105888	80085	0	0	0	0	121	121	0	0.35	0.26	0.36
144	311623	35672	56800176	353268	0	0	0	0	15431550	96024	0	0	0	0	144	144	1	0.46	0.35	0.44
169	314626	42160	72202815	423756	0	0	0	0	19487289	114424	0	0	0	0	169	169	2	0.40	0.33	0.46
196	316493	49180	90598523	499829	0	0	0	0	24305738	134061	0	0	0	0	196	196	2	0.41	0.40	0.52
225	319593	56184	112911975	582747	0	0	0	0	30154414	155608	0	0	0	0	225	225	2	0.55	0.49	0.76
256	321996	65484	138497134	675789	0	0	0	0	36837821	179715	0	0	0	0	256	256	3	0.68	0.63	0.77
289	325072	73773	168134312	769613	0	0	0	0	44548842	203823	0	0	0	0	289	289	3	0.97	0.76	1.09
