node_count	traffic_ms	software_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
4	201	1859	891339	4002	0	0	0	0	445609	2001	0	0	0	0	4	3	60015	0	0.02	1.60	1.98
9	541	5796	3648106	12719	0	0	0	0	1322987	4752	0	0	0	0	9	2	60006	0	0.05	0.51	1.34
16	989	9475	9200913	27260	0	0	0	0	2972305	9024	0	0	0	0	16	1	60004	0	0.03	0.18	0.89
25	1641	15279	17846135	46330	0	0	0	0	5439734	14402	0	0	0	0	25	2	60002	0	0.03	0.15	0.63
36	2413	22396	32913655	76017	0	0	0	0	9640874	22628	0	0	0	0	36	7	60001	0	0.07	0.24	0.52
49	3289	30359	53406249	110264	0	0	0	0	15306284	31997	0	0	0	0	49	2	60002	0	0.20	0.39	0.57
64	4441	39354	85146847	160559	0	0	0	0	23966921	45634	0	0	0	0	64	4	60001	0	0.26	0.39	0.53
81	6017	52536	126035098	219543	0	0	0	0	34884900	61288	0	0	0	0	81	3	60001	0	0.38	0.41	0.53
100	7901	65204	182539492	295113	0	2	0	0	50051918	81447	0	0	0	0	100	4	60001	0	0.64	0.58	0.61
121	10701	75360	253286769	394139	0	0	0	0	68816874	107707	0	0	0	0	121	3	60001	0	0.79	0.64	0.68
144	13253	94515	333052471	480436	0	0	0	0	89844668	130215	0	0	0	0	144	4	60000	0	0.45	0.61	0.72
169	14445	105904	447426791	630046	0	6	0	0	120081271	169868	0	0	0	0	169	4	60000	0	0.59	0.91	1.13
196	17481	132600	577139176	787778	0	16	0	0	154213945	211230	0	0	0	0	196	2	60001	0	1.03	1.20	1.48
225	19585	147149	740358565	983544	0	8	0	0	196889696	262269	0	0	0	0	225	2	60000	0	1.71	1.39	1.70
256	22157	173878	920308198	1189239	0	12	0	0	243921451	315864	0	0	0	0	256	4	60000	0	1.64	1.73	2.43
289	24873	194552	1122651685	1413395	0	0	0	0	296191299	373618	0	0	0	0	289	4	60000	0	2.63	2.15	3.03
