node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303548	30646	13147750	41018	0	0	0	0	6686686	20917	0	0	0	0	200	11	0	0.20	0.33	0.71
100	308402	62785	33052060	83464	0	0	0	0	16648262	42144	0	0	0	0	200	4	0	0.34	0.29	0.50
150	312399	97537	64389537	158696	0	0	0	0	32338924	79833	0	0	0	0	200	1	0	0.45	0.38	0.49
200	316330	127590	85277111	207529	0	0	0	0	42772100	104230	0	0	0	0	200	3	0	0.54	0.53	0.62
250	321114	158718	118112516	282555	0	0	0	0	59218455	141806	0	0	0	0	200	3	0	0.63	0.64	0.76
300	323698	194516	139165329	336294	0	0	0	0	69720876	168630	0	0	0	0	200	0	0	0.91	0.75	0.99
350	327006	220228	172357914	410733	0	0	0	0	86322766	205872	0	0	0	0	200	0	0	1.43	1.06	1.33
400	332166	266212	194402709	468514	0	0	0	0	97336072	234726	0	0	0	0	200	0	0	1.56	1.09	1.09
450	335283	295425	213597150	518360	0	0	0	0	106927750	259655	0	0	0	0	200	1	0	1.37	1.17	1.17
500	339154	337404	238776939	580271	0	0	0	0	119529882	290623	0	0	0	0	200	2	9	1.82	1.61	1.68
