node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303632	32683	14825229	41214	0	0	0	0	6793659	20988	0	0	0	0	200	0	0	0.21	0.26	0.79
100	309102	66655	39762017	83768	0	0	0	0	18416506	42195	0	0	0	0	200	0	0	0.46	0.37	0.56
150	312696	94398	83940107	157706	0	0	0	0	39272740	78463	0	0	0	0	200	0	0	0.36	0.41	0.55
200	316539	128718	135982870	233311	0	0	0	0	63741819	116075	0	0	0	0	200	0	0	0.63	0.60	0.68
250	321137	161671	206180206	332080	0	0	0	0	98248352	165343	0	0	0	0	200	0	0	0.97	0.85	0.87
300	324642	196173	282836092	423482	0	0	0	0	135240606	210016	0	0	0	0	200	0	0	1.04	1.02	1.04
350	328666	228209	371712087	522497	0	0	0	0	177587232	257951	0	0	0	0	200	0	0	1.31	1.45	1.32
400	333651	266161	493446251	667907	0	0	0	0	236075147	327462	0	0	0	0	200	0	0	2.53	2.23	1.78
450	337330	300983	432673756	637620	0	0	0	0	205236969	315435	0	0	0	0	200	0	0	2.53	5.13	4.57
500	342792	327511	777550327	994263	0	0	0	0	371475427	481014	0	0	0	0	200	0	0	5.31	4.08	3.16
