node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
4	300315	1581	3506864	21353	0	0	0	0	1753264	10675	0	0	0	0	4	4	0	0.00	3.11	5.79
9	300598	3572	19247536	104364	0	0	0	0	6735980	36685	0	0	0	0	9	9	0	0.02	0.42	2.95
16	300953	7718	52463456	303455	0	0	0	0	16126344	93500	0	0	0	0	16	16	2	0.38	0.22	1.55
25	301727	11644	99059936	581236	0	0	0	0	28685220	168846	0	0	0	0	25	25	3	0.36	0.32	0.92
36	302388	15792	166608024	998038	0	0	0	0	46432472	278489	0	0	0	0	36	36	5	0.64	0.51	0.71
49	303449	22362	239073712	1425391	0	0	0	0	65414884	390516	0	0	0	0	49	49	8	0.93	0.90	0.85
64	304298	30741	329371728	1962188	0	0	0	0	89025932	530886	0	0	0	0	64	64	10	1.75	1.31	1.08
81	306362	38738	422622256	2493661	0	0	0	0	112785296	665936	0	0	0	0	81	76	21	1.71	1.12	1.02
100	307883	48357	532936040	3144285	0	0	0	0	140994136	832480	0	0	0	0	100	96	23	2.36	1.64	1.31
121	310204	59745	673352256	3924294	0	0	0	0	177494540	1035496	0	0	0	0	121	101	29	1.36	1.25	1.21
144	312333	63697	818629024	4768648	0	0	0	0	214594872	1251101	0	0	0	0	144	112	30	2.19	2.10	1.89
169	314498	80178	964430948	5642070	0	0	0	0	252498144	1478064	0	0	0	0	169	117	29	1.67	1.87	1.90
196	316886	95030	1152540408	6662410	0	0	0	0	300979204	1741400	0	0	0	0	196	113	32	3.03	2.78	2.27
225	319394	108839	1377113136	7962727	0	0	0	0	358172776	2072985	0	0	0	0	225	136	28	3.70	3.13	2.48
256	322649	125285	1588963076	9177093	0	0	0	0	412601556	2384660	0	0	0	0	256	132	30	2.98	3.14	2.65
289	327154	141254	1792092984	10328329	0	0	0	0	463898932	2675996	0	0	0	0	289	139	34	3.76	3.55	2.89
