node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303395	23492	181914624	1030578	0	0	0	0	91256460	517153	0	0	0	0	200	101	8	0.31	0.84	1.54
100	308199	45982	337341828	1929491	0	0	0	0	169002688	966762	0	0	0	0	200	44	15	0.69	0.78	1.11
150	312778	69981	523709920	3001232	0	0	0	0	262179812	1502624	0	0	0	0	200	35	15	1.77	1.64	1.36
200	317051	93183	705582216	4055369	0	0	0	0	353132512	2029800	0	0	0	0	200	23	10	1.57	1.22	1.20
250	321522	121613	864604528	4974727	0	0	0	0	432630168	2489358	0	0	0	0	200	11	6	2.55	2.53	2.02
300	326369	146503	1056951368	6120188	0	0	0	0	528772732	3061984	0	0	0	0	200	14	10	4.15	2.76	2.24
350	330775	172378	1259748208	7273153	0	0	0	0	630202424	3638593	0	0	0	0	200	10	8	4.49	2.83	2.25
400	336629	199737	1466826792	8479440	0	0	0	0	733758760	4241902	0	0	0	0	200	17	20	3.34	3.51	2.85
450	342158	230206	1658192560	9594017	0	0	0	0	829445408	4799171	0	0	0	0	200	8	8	4.30	4.05	3.20
500	347530	260611	1862126580	10819021	0	0	0	0	931443144	5411845	0	0	0	0	200	6	9	5.83	4.99	4.07
