node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303676	25324	272572244	1503639	0	0	0	0	77106908	429076	0	0	0	0	200	197	11	0.61	0.91	1.76
100	308207	49331	633704612	3527638	0	0	0	0	169273428	950948	0	0	0	0	200	178	21	2.46	1.60	1.56
150	313083	73265	999168420	5495296	0	0	0	0	268385540	1493258	0	0	0	0	200	122	23	2.26	2.09	1.92
200	317467	98771	1433398948	7864396	0	0	0	0	363481028	2017757	0	0	0	0	200	116	26	2.83	2.79	2.26
250	322247	123935	1781224800	9835788	0	0	0	0	468613164	2623445	0	0	0	0	200	106	31	4.13	3.01	2.42
300	327406	146400	2021414232	11342331	0	0	0	0	540895440	3063377	0	0	0	0	200	88	29	3.51	3.29	2.63
350	332649	167279	2391772148	13169506	0	0	0	0	645575404	3600477	0	0	0	0	200	69	41	3.50	3.75	3.10
400	339183	205409	2881241764	15861913	0	0	0	0	756899832	4216585	0	0	0	0	200	70	35	7.39	5.73	3.96
450	344422	228881	3807014660	20705895	0	0	0	0	906103272	5003814	0	0	0	0	200	66	35	9.82	8.32	5.75
500	351608	262102	4091631368	22512310	0	0	0	0	1006474892	5612847	0	0	0	0	200	63	37	8.89	8.16	5.87
