node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303815	22252	16443030	41663	0	0	0	0	4732012	11938	0	0	0	0	200	200	0	0.06	0.62	2.35
64	304942	29730	25979796	54052	0	0	0	0	7319334	15181	0	0	0	0	200	200	0	0.10	0.17	1.12
81	306239	36588	38833434	67765	0	0	0	0	10780734	18831	0	0	0	0	200	200	0	0.32	0.24	0.64
100	308033	46216	55814206	85091	0	0	0	0	15306480	23330	0	0	0	0	200	200	0	0.13	0.24	0.47
121	309524	54920	77351238	107585	0	0	0	0	21028992	29362	0	0	0	0	200	200	0	0.40	0.38	0.49
144	311749	66296	103673652	134288	0	0	0	0	27952792	36294	0	0	0	0	200	200	0	0.45	0.32	0.45
169	313411	76003	136286476	169314	0	0	0	0	36506460	45470	0	0	0	0	200	200	0	0.45	0.42	0.53
196	316773	88644	175613976	207162	0	0	0	0	46772328	55338	0	0	0	0	200	200	1	0.43	0.42	0.56
225	316524	100385	220707852	249812	0	0	0	0	58482306	66341	0	0	0	0	200	200	1	0.69	0.60	0.68
256	319430	114579	273237946	299493	0	0	0	0	72102760	79160	0	0	0	0	200	200	1	0.49	0.69	0.82
289	321889	127528	335605606	356557	0	0	0	0	88265846	94061	0	0	0	0	200	200	2	0.77	0.69	0.83
324	326544	151931	408763900	421060	0	0	0	0	107164198	110565	0	0	0	0	200	200	2	0.70	0.67	0.81
361	327150	158104	488943292	488048	0	0	0	0	127870588	127858	0	0	0	0	200	200	3	1.04	0.85	1.15
400	330663	181360	584044554	571035	0	0	0	0	152397790	149239	0	0	0	0	200	200	3	1.34	1.00	1.25
441	333718	197320	690382072	659758	0	0	0	0	179786522	172041	0	0	0	0	200	200	4	1.43	1.16	1.36
484	337763	217796	812742474	757635	0	0	0	0	211282420	197274	0	0	0	0	200	200	4	1.56	1.18	1.18
