node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303564	22532	5931668	33634	0	0	0	0	2981788	17006	0	0	0	0	200	200	0	0.10	0.53	1.89
100	308755	46720	15032022	66417	0	0	0	0	7531644	33388	0	0	0	0	200	172	0	0.39	0.33	0.96
150	312921	66377	26686588	94688	0	0	0	0	13359266	47525	0	0	0	0	200	135	0	0.64	0.45	0.66
200	316619	91400	41208834	122753	0	0	0	0	20619064	61554	0	0	0	0	200	102	1	0.52	0.39	0.57
250	318806	110642	58639006	148567	0	0	0	0	29335918	74467	0	0	0	0	200	107	1	0.63	0.56	0.64
300	322178	133651	78042030	177631	0	0	0	0	39039212	89004	0	0	0	0	200	76	2	0.86	0.71	0.79
350	325978	155311	97703088	202876	0	0	0	0	48872582	101625	0	0	0	0	200	63	2	1.00	0.80	0.86
400	330392	180699	118246932	231878	0	0	0	0	59142584	116132	0	0	0	0	200	55	3	1.38	1.02	0.95
450	332702	207592	137265414	252123	0	0	0	0	68654466	126253	0	0	0	0	200	52	3	1.49	0.98	1.29
500	336389	235041	158314278	278551	0	0	0	0	79174486	139465	0	0	0	0	200	47	2	1.47	1.11	1.13
