node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303819	24056	6847196	28264	0	0	0	0	2522702	11977	0	0	0	0	200	200	0	0.24	1.30	3.72
100	309051	46621	20189658	50525	0	0	0	0	7048306	21853	0	0	0	0	200	200	0	0.19	0.23	1.63
150	312195	70292	37846800	75248	0	0	0	0	13184440	32658	0	0	0	0	200	200	0	0.35	0.29	0.83
200	315519	95423	67017446	106235	0	0	0	0	22658574	45373	0	0	0	0	200	200	0	0.57	0.61	0.74
250	320363	117136	99361774	140405	0	0	0	0	34144656	60024	0	0	0	0	200	200	0	0.81	0.66	0.95
300	323174	139847	130276210	177133	0	0	0	0	44177562	74743	0	0	0	0	200	200	1	0.92	0.77	1.05
350	328326	164756	170569106	218207	0	0	0	0	57495010	91709	0	0	0	0	200	200	2	0.94	0.88	1.24
400	329877	175520	223813368	265278	0	0	0	0	73266490	109089	0	0	0	0	200	200	2	1.32	0.94	0.99
450	335256	212236	290497008	324952	0	0	0	0	95273930	131189	0	0	0	0	200	200	3	1.02	1.00	1.06
500	336276	219499	347477138	375507	0	0	0	0	111970790	150027	0	0	0	0	200	200	3	1.22	1.12	1.34
