node_count	traffic_ms	software_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
4	249	1249	784408	3613	0	0	0	0	392249	1807	0	0	0	0	4	4	60014	0	0.00	0.13	0.47
9	585	3352	3128660	13804	0	0	0	0	1087685	4790	0	0	0	0	12	12	60004	0	0.00	0.03	0.24
16	1025	5920	11093893	49709	0	0	0	0	3394746	15174	0	0	0	0	24	24	60002	0	0.07	0.04	0.12
25	1505	9415	26008385	104747	0	0	0	0	7450898	30089	0	0	0	0	40	40	60002	0	0.14	0.08	0.09
36	2177	13940	53621906	196886	0	0	0	0	14770430	54702	0	0	0	0	60	60	60001	0	0.09	0.10	0.11
49	3305	18829	98340461	312073	0	0	0	0	26403264	84749	0	0	0	0	84	84	60001	0	0.62	0.29	0.21
64	4357	23677	166578582	439944	0	0	0	0	44033125	118029	0	0	0	0	112	112	60001	0	0.23	0.22	0.25
81	5877	31093	266687904	614276	0	0	0	0	69658707	163095	0	0	0	0	144	144	60001	0	0.24	0.23	0.27
100	7320	40877	405781887	795747	0	0	0	0	105256687	210663	0	0	0	0	180	180	60000	0	0.23	0.29	0.35
121	10069	46625	589585255	1018803	0	0	0	0	151655776	267071	0	0	0	0	220	220	60000	0	0.66	0.58	0.55
144	11821	57801	829771056	1241500	0	0	0	0	212509261	324516	0	0	0	0	264	264	60001	0	0.97	0.66	0.66
169	15569	68068	1133961083	1476969	0	0	0	0	289642404	385415	0	0	0	0	312	312	60000	0	1.33	0.95	0.84
196	17453	76168	1528466544	1909484	0	0	0	0	389122111	494799	0	0	0	0	364	364	60000	0	1.66	0.99	0.91
225	19521	86344	2009801817	2436458	0	0	0	0	510165060	627418	0	0	0	0	420	420	60000	1	1.99	1.31	1.12
256	21765	95103	2602554284	3083698	0	4	0	0	659345317	790375	0	0	0	0	480	480	60001	1	2.52	1.81	1.67
289	24677	110668	3277090559	3759195	0	0	0	0	828647282	959169	0	0	0	0	544	542	60000	1	2.85	2.04	1.69
