node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303502	11259	74596081	309475	0	0	0	0	20435772	85444	0	0	0	0	200	200	14	0.80	1.12	0.73
64	304494	14831	119018794	455599	0	0	0	0	34505398	131497	0	0	0	0	200	200	16	0.47	0.60	0.68
81	305797	18594	148417596	562502	0	0	0	0	40088602	152623	0	0	0	0	200	200	16	0.99	0.86	0.79
100	307594	23092	205045633	725785	0	0	0	0	55044550	195234	0	0	0	0	200	200	19	2.22	1.26	1.03
121	309469	27564	248313598	870416	0	0	0	0	66865731	234526	0	0	0	0	200	200	21	0.68	1.07	1.09
144	311072	32858	345141663	1093433	0	0	0	0	92468385	293386	0	0	0	0	200	200	24	2.18	2.13	1.67
169	313024	39095	425994763	1264612	0	0	0	0	113686097	338104	0	0	0	0	200	200	25	2.10	1.54	1.50
196	314680	46899	440963243	1469050	0	0	0	0	116002932	387121	0	0	0	0	200	200	27	4.44	3.01	2.39
225	316353	53268	499897776	1618325	0	0	0	0	130747486	424147	0	0	0	0	200	200	26	0.93	1.57	1.89
256	319456	62168	582869104	1857202	0	0	0	0	151396100	483698	0	0	0	0	200	200	30	2.34	2.70	2.44
289	323524	70840	1654738619	3659844	0	0	0	0	448288779	977225	0	0	0	0	200	3	39	36.28	21.59	11.53
324	328378	78783	1791863783	4063602	0	0	0	0	469055149	1058456	0	0	0	0	200	0	0	4.78	5.40	6.22
361	329605	88811	2157211048	4924255	0	0	0	0	551586661	1246990	0	0	0	0	200	0	0	3.89	5.15	5.29
400	331346	97296	2741635752	5641403	0	0	0	0	719181476	1455098	0	0	0	0	200	0	0	14.91	18.54	14.30
441	335856	104160	3555333549	7849013	0	0	0	0	916500243	1993396	0	0	0	0	200	0	0	7.05	9.44	8.99
484	339714	117172	2097454708	5034821	0	0	0	0	533147677	1273418	0	0	0	0	200	0	0	3.57	5.31	5.26
