node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303614	6304	39041871	156248	0	0	0	0	19811187	78711	0	0	0	0	200	58	26	0.0025	0.05150000000000001	0.1405
100	306170	8719	70726755	303960	0	0	0	0	36171562	152750	0	0	0	0	200	9	12	0.07950000000000002	0.05950000000000001	0.09600000000000003
150	308750	11388	86078734	375902	0	0	0	0	43924642	188920	0	0	0	0	200	10	14	0.11699999999999999	0.1065	0.09450000000000001
200	311369	13070	117476281	509308	0	0	0	0	60115915	255708	0	0	0	0	200	4	7	0.14099999999999996	0.143	0.11599999999999999
250	314031	15437	158677157	667363	0	0	0	0	80475524	334862	0	0	0	0	200	3	15	0.08900000000000002	0.13	0.121
300	316765	18178	199009984	828692	0	0	0	0	101043404	415563	0	0	0	0	200	4	7	0.1125	0.14750000000000002	0.14100000000000001
350	319565	23248	258686480	1016147	0	0	0	0	130570598	509107	0	0	0	0	200	1	9	0.5079999999999999	0.34249999999999997	0.24799999999999994
400	322400	23763	269892944	1072173	0	0	0	0	136302018	537234	0	0	0	0	200	8	8	0.356	0.2755000000000001	0.257
450	325461	25869	370284016	1412770	0	0	0	0	187121354	707839	0	0	0	0	200	3	7	0.32400000000000007	0.3005	0.28450000000000003
500	328230	27980	466158105	1626642	0	0	0	0	234714077	814509	0	0	0	0	200	4	11	0.40049999999999997	0.36250000000000004	0.3345
550	331082	30487	434137860	1596628	0	0	0	0	219044734	799646	0	0	0	0	200	3	9	0.335	0.3605	0.35350000000000004
600	334997	32787	507447276	1799147	0	0	0	0	255748566	901056	0	0	0	0	200	3	10	0.4375	0.4000000000000001	0.38249999999999995
650	337596	35895	546460520	2040184	0	0	0	0	275680311	1021511	0	0	0	0	200	4	9	0.42049999999999993	0.46900000000000003	0.434
700	341869	39232	609503279	2084887	0	0	0	0	306799722	1043720	0	0	0	0	200	4	10	0.2705	0.4659999999999999	0.48250000000000004
750	343943	40751	669168288	2323676	0	0	0	0	336940080	1163532	0	0	0	0	200	3	28	0.5325	0.5235	0.509
800	348231	43231	696149828	2450395	0	0	0	0	350475631	1226597	0	0	0	0	200	8	11	0.501	0.6335	0.571
850	351456	46331	626379188	2285543	0	0	0	0	315699988	1144331	0	0	0	0	200	5	16	0.853	0.6335	0.58
900	354453	51063	944475315	2935931	0	0	0	0	474508976	1469139	0	0	0	0	200	4	10	0.5969999999999999	0.6715	0.6549999999999999
950	358439	55422	803336080	2700891	0	0	0	0	404340199	1352099	0	0	0	0	200	3	11	0.7519999999999999	0.6515000000000001	0.6555
1000	361597	59654	933659928	3015725	0	0	0	0	469520073	1509213	0	0	0	0	200	2	9	0.6609999999999999	0.7580000000000001	0.7075
