node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303627	6854	44652861	192979	0	0	0	0	15897179	68698	0	0	0	0	200	21	13	0.0685	0.5405	1.7570000000000001
100	306181	9615	113784689	468601	0	0	0	0	36638402	153704	0	0	0	0	200	17	16	0.09100000000000001	0.11050000000000004	0.8774999999999998
150	308762	12101	162479664	647504	0	0	0	0	55435288	224477	0	0	0	0	200	4	11	0.04450000000000001	0.09600000000000002	0.4734999999999999
200	311362	13647	214287096	851834	0	0	0	0	70713308	287936	0	0	0	0	200	5	6	0.1375	0.1305	0.2935000000000001
250	314103	13885	327290468	1213688	0	0	0	0	105909720	403870	0	0	0	0	200	6	8	0.19100000000000003	0.17700000000000002	0.231
300	316865	15818	424689162	1550497	0	0	0	0	139559901	519931	0	0	0	0	200	2	7	0.27749999999999997	0.22999999999999998	0.2355
350	319612	19901	449697483	1621285	0	0	0	0	144367594	539909	0	0	0	0	200	4	7	0.44750000000000006	0.2855	0.25949999999999995
400	322562	20159	608564853	2140104	0	0	0	0	194131793	701893	0	0	0	0	200	3	7	0.6540000000000001	0.4175	0.3335000000000001
450	325615	24049	629359419	2229691	0	0	0	0	193756691	716358	0	0	0	0	200	7	6	0.5585	0.425	0.38900000000000007
500	329168	26388	847076455	2794808	0	0	0	0	257855567	889619	0	0	0	0	200	5	9	0.46550000000000014	0.4375000000000001	0.4295
550	332109	31884	1461499382	4424331	0	0	0	0	435305627	1354416	0	0	0	0	200	6	8	0.609	0.48100000000000004	0.465
600	335723	29046	1124152735	3623215	0	0	0	0	335186535	1127065	0	0	0	0	200	9	8	0.662	0.562	0.508
650	338649	36570	1274149293	4043230	0	0	0	0	388842096	1281194	0	0	0	0	200	4	9	0.5169999999999999	0.5065000000000001	0.5275000000000001
700	342903	37424	1520600915	4665930	0	0	0	0	475270318	1510197	0	0	0	0	200	7	6	0.5839999999999999	0.5914999999999999	0.5759999999999998
750	345367	35639	1734093903	5144294	0	0	0	0	520917257	1604959	0	0	0	0	200	6	10	0.8069999999999998	0.7035	0.6439999999999999
800	350139	41999	2778575566	7765901	0	0	0	0	793999185	2298420	0	0	0	0	200	3	8	0.49349999999999994	0.72	0.719
850	354118	45248	2735875184	7768740	0	0	0	0	757602525	2238867	0	0	0	0	200	8	16	0.7984999999999998	0.8549999999999999	0.795
900	357147	42759	2692642485	7655934	0	0	0	0	768216918	2275590	0	0	0	0	200	4	13	0.547	0.6300000000000001	0.7165
950	361228	50443	2965482120	8266373	0	0	0	0	824107627	2405874	0	0	0	0	200	3	12	0.9694999999999998	0.8829999999999998	0.7969999999999999
1000	364613	46141	2957610079	8255699	0	0	0	0	869893104	2528675	0	0	0	0	200	9	7	1.1090000000000002	1.0020000000000002	0.9074999999999998
1050	367891	49104	3118991330	8792664	0	0	0	0	878558573	2595241	0	0	0	0	200	4	16	1.7734999999999999	1.2534999999999998	1.0574999999999997
1100	372230	54650	3500297650	9305663	0	0	0	0	1016430171	2826224	0	0	0	0	200	1	4	1.14	1.0864999999999998	1.088
1150	376454	63851	3330401921	9139195	0	0	0	0	953846259	2763805	0	0	0	0	200	4	9	1.3575	1.331	1.2115
1200	381203	61993	3342603286	9208998	0	0	0	0	937728875	2751337	0	0	0	0	200	2	9	1.4190000000000003	1.314	1.2435
1250	386291	69168	5297821130	13693621	0	0	0	0	1489190199	4024291	0	0	0	0	200	8	59	1.1584999999999999	1.2704999999999997	1.2594999999999998
1300	394891	66052	5679150733	14466570	0	0	0	0	1523334116	4084320	0	0	0	0	200	3	18	1.1644999999999999	1.34	1.3315
1350	408474	68536	5935767468	15021634	0	0	0	0	1595508427	4276156	0	0	0	0	200	4	11	2.3804999999999996	1.8445000000000005	1.5575000000000003
