load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.19	0.70	0.87	4	2	2	60000.0	60038	0	193722	2067	0	0	0	0	96916	1034	0	0	0	0
0.04	0.46	0.75	9	6	6	60000.0	60017	0	648101	6375	0	0	0	0	241689	2386	0	0	0	0
0.06	0.34	0.66	16	12	12	60000.0	60009	0	1458435	13029	0	0	0	0	481745	4324	0	0	0	0
0.16	0.33	0.61	25	20	20	60000.0	60005	0	2661585	22149	0	0	0	0	824800	6889	0	0	0	0
0.19	0.36	0.57	36	30	30	60000.0	60004	0	4355185	33602	0	0	0	0	1298018	10048	0	0	0	0
0.23	0.46	0.59	49	42	42	60000.0	60003	0	6851099	49005	0	0	0	0	1984992	14243	0	0	0	0
0.14	0.48	0.58	64	56	56	60000.0	60002	0	10167615	67556	0	0	0	0	2889457	19250	0	0	0	0
0.46	0.62	0.64	81	72	72	60000.0	60002	0	14476466	89800	0	0	0	0	4051092	25175	0	0	0	0
0.37	0.62	0.67	100	90	90	60000.0	60001	0	20732445	119154	0	0	0	0	5737463	33002	0	0	0	0
0.60	0.80	0.78	121	110	110	60000.0	60001	0	27930925	149502	0	0	0	0	7647891	40979	0	0	0	0
0.64	0.78	0.82	144	132	132	60000.0	60001	0	37602388	187719	0	0	0	0	10211578	51000	0	0	0	0
0.61	0.84	0.89	169	156	156	60000.0	60001	0	49660069	232183	0	2	0	0	13398811	62669	0	0	0	0
0.69	0.81	0.92	196	182	182	60000.0	60001	0	64867864	284390	0	0	0	0	17402754	76324	0	0	0	0
