load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.22	0.76	0.91	4	2	2	60000.0	60039	0	1428624	8727	0	50	0	0	714588	4365	0	0	0	0
0.33	0.56	0.81	9	6	1	60000.0	60014	0	7933808	45152	0	276	0	0	2711594	15446	0	0	0	0
0.31	0.47	0.73	16	12	5	60000.0	60004	0	19748422	114341	0	607	0	0	6076048	35275	0	0	0	0
0.13	0.40	0.67	25	20	1	60000.0	60006	0	36018802	209212	0	1083	0	0	10441898	60799	0	0	0	0
0.66	0.50	0.65	36	30	3	60000.0	60001	0	57532512	330981	0	1752	0	0	16189052	93314	0	0	0	0
0.21	0.49	0.63	49	42	3	60000.0	60001	0	85436048	488275	0	2625	0	0	23390464	133990	0	0	0	0
0.88	0.74	0.71	64	56	3	60000.0	60000	0	110319080	625930	0	3544	0	0	30074006	170914	0	0	0	0
1.25	0.92	0.79	81	72	7	60000.0	60000	0	150944660	852695	0	4695	0	0	40886990	231332	0	0	0	0
1.91	1.39	1.03	100	90	5	60000.0	60001	0	191389726	1075170	0	6015	0	0	51195828	288088	0	0	0	0
2.69	1.51	1.15	121	110	3	60000.0	60001	0	247874480	1393033	0	7754	0	0	65666672	369636	0	0	0	0
2.44	1.68	1.31	144	132	1	60000.0	60001	0	300091332	1687875	0	9362	0	0	79293600	446592	0	0	0	0
1.87	1.66	1.41	169	156	2	60000.0	60001	0	364927752	2044810	0	11175	0	0	96051484	538854	0	0	0	0
3.11	2.06	1.61	196	182	2	60000.0	60001	0	429529702	2414405	0	13872	0	0	112570090	633506	0	0	0	0
