load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.01	0.14	0.81	4	2	2	60000.0	60020	0	161990	793	0	0	0	0	80960	396	0	0	0	0
0.16	0.15	0.71	9	6	6	60000.0	60017	0	661853	3071	0	0	0	0	231101	1073	0	0	0	0
0.18	0.19	0.64	16	12	12	60000.0	60009	0	2180091	9950	0	0	0	0	671440	3071	0	0	0	0
0.23	0.26	0.59	25	20	20	60000.0	60006	0	5419974	23216	0	0	0	0	1572946	6762	0	0	0	0
0.10	0.29	0.55	36	30	30	60000.0	60001	0	11172688	41561	0	0	0	0	3132801	11728	0	0	0	0
0.47	0.45	0.56	49	42	42	60000.0	60002	0	21330387	69108	0	0	0	0	5866723	19163	0	0	0	0
0.36	0.53	0.59	64	56	56	60000.0	60002	0	36219316	99352	0	0	0	0	9797424	27142	0	0	0	0
0.32	0.61	0.64	81	72	72	60000.0	60001	0	58919833	137854	0	0	0	0	15714064	37307	0	0	0	0
0.56	0.73	0.71	100	90	90	60000.0	60001	0	90023374	180750	0	0	0	0	23680813	48320	0	0	0	0
0.57	0.81	0.79	121	110	110	60000.0	60001	0	134673425	235716	0	0	0	0	35211544	62619	0	0	0	0
0.85	0.95	0.90	144	132	132	60000.0	60001	0	195577569	302449	0	0	0	0	50761431	79828	0	0	0	0
0.86	0.97	0.98	169	156	156	60000.0	60001	0	271351894	373038	0	0	0	0	70237337	98222	0	0	0	0
1.10	1.08	1.04	196	182	182	60000.0	60001	0	383068804	501716	0	0	0	0	98823863	131292	0	0	0	0
