load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.32	1.01	1.12	4	2	2	60000.0	60008	4	408266	2646	0	0	0	0	204133	1323	0	0	0	0
1.11	1.19	1.18	9	6	6	60000.0	60016	6	2702599	13228	0	0	0	0	922484	4606	0	0	0	0
3.09	1.98	1.48	16	12	12	60000.0	60009	7	8061382	32343	0	0	0	0	2530544	10254	0	0	0	0
0.30	1.23	1.27	25	20	20	60000.0	60000	7	18610750	66303	0	0	0	0	5342148	19338	0	0	0	0
0.22	0.79	1.09	36	30	30	60000.0	60002	9	43047282	127093	0	0	0	0	11963814	35777	0	0	0	0
0.75	0.78	1.02	49	42	42	60000.0	60001	14	71884081	198234	0	0	0	0	20219138	55794	0	0	0	0
0.27	0.64	0.91	64	56	56	60000.0	60001	11	122669898	323813	0	0	0	0	32565326	86945	0	0	0	0
0.72	0.71	0.88	81	72	72	60000.0	60001	18	190527033	455700	0	0	0	0	49976880	120755	0	0	0	0
3.78	2.13	1.39	100	90	90	60000.0	60002	20	290358508	655188	0	0	0	0	75353244	171662	0	0	0	0
3.61	2.46	1.69	121	110	110	60000.0	60000	26	347012552	805606	0	0	0	0	91215476	212505	0	0	0	0
2.08	2.22	1.80	144	132	132	60000.0	60000	17	484796381	1064639	0	0	0	0	126238569	278660	0	0	0	0
4.18	3.17	2.26	169	156	125	60000.0	60001	20	722564121	6889633	0	0	0	0	1812561484	1738470	0	0	0	0
3.94	3.00	2.35	196	182	180	60000.0	60001	23	850418467	1893502	0	0	0	0	217530756	486848	0	0	0	0
